# D = 30
# z-slice at iz = N/2 (z = p/2)
# x/p  y/p  delta  vx  vy  vz
0.03125  0.421875  -0.520367  0.000220643  -0.000504237  -1.01576e-19
0.03125  0.4375  -0.532392  0.000226236  -0.000429419  -3.4514e-19
0.03125  0.453125  -0.537138  0.000228634  -0.000336764  -4.26108e-19
0.03125  0.46875  -0.54031  0.000231759  -0.000231759  1.82597e-18
0.03125  0.484375  -0.543615  0.000232492  -0.000118373  1.57597e-19
0.03125  0.5  -0.541786  0.000233198  5.94862e-19  -4.46221e-19
0.03125  0.515625  -0.543615  0.000232492  0.000118373  7.30989e-20
0.03125  0.53125  -0.54031  0.000231759  0.000231759  1.56521e-18
0.03125  0.546875  -0.537138  0.000228634  0.000336764  -4.24832e-19
0.03125  0.5625  -0.532392  0.000226236  0.000429419  -2.19408e-19
0.03125  0.578125  -0.520367  0.000220643  0.000504237  1.86287e-20
0.03125  0.59375  -0.512891  0.000215243  0.000566082  -3.81674e-19
0.03125  0.609375  -0.498507  0.00020909  0.000607169  1.89351e-19
0.03125  0.625  -0.47985  0.000200153  0.000629629  2.90288e-19
0.03125  0.640625  -0.464132  0.000190795  0.0006397  -1.29102e-19
0.03125  0.65625  -0.44341  0.000180907  0.000633902  -9.71479e-20
0.03125  0.671875  -0.414536  0.000168591  0.000613467  -2.85006e-19
0.03125  0.6875  -0.383443  0.000154016  0.00058591  -1.66148e-19
0.03125  0.703125  -0.351609  0.000138218  0.000555183  5.29586e-20
0.03125  0.71875  -0.314099  0.000121154  0.000521838  -1.41823e-19
0.03125  0.734375  -0.267017  0.000101995  0.0004878  -1.0885e-19
0.03125  0.75  -0.210727  8.01506e-05  0.000457085  -1.18104e-19
0.03125  0.765625  -0.147207  5.55679e-05  0.000433591  -1.18179e-19
0.03125  0.78125  -0.0767661  2.84417e-05  0.000419786  1.7653e-19
0.03125  0.796875  0.00293356  -1.06951e-06  0.000416857  -3.42737e-21
0.03125  0.8125  0.0958646  -3.2924e-05  0.00042525  1.04283e-19
0.03125  0.828125  0.205815  -6.71515e-05  0.000444937  4.65286e-20
0.03125  0.84375  0.33453  -0.000103748  0.000475315  -8.37959e-20
0.03125  0.859375  0.480517  -0.00014252  0.000514686  2.93444e-20
0.03125  0.875  0.639856  -0.000182845  0.000559264  5.91996e-19
0.03125  0.890625  0.810346  -0.000223415  0.000601728  2.26835e-19
0.03125  0.90625  0.994958  -0.000262334  0.000630388  -7.33839e-20
0.03125  0.921875  1.19234  -0.000298215  0.000632028  3.16419e-19
0.03125  0.9375  1.38356  -0.000330472  0.000595204  7.33561e-20
0.03125  0.953125  1.54762  -0.000357399  0.000511336  1.2231e-19
0.03125  0.96875  1.68802  -0.000376543  0.000376543  4.78829e-19
0.03125  0.984375  1.76979  -0.000389489  0.000200501  4.3171e-19

0.046875  0  1.64222  -0.000527526  -2.7246e-19  6.26988e-21
0.046875  0.015625  1.61359  -0.000524238  -0.000188865  -3.14646e-19
0.046875  0.03125  1.54762  -0.000511336  -0.000357399  -6.70947e-20
0.046875  0.046875  1.43318  -0.000490945  -0.000490945  4.29154e-19
0.046875  0.0625  1.29667  -0.000460929  -0.000579867  1.78874e-19
0.046875  0.078125  1.13777  -0.000422156  -0.000625537  4.01204e-19
0.046875  0.09375  0.963076  -0.000377044  -0.000635082  2.01682e-19
0.046875  0.109375  0.792049  -0.000326194  -0.0006171  1.90219e-19
0.046875  0.125  0.631509  -0.000271049  -0.000582817  -1.80164e-19
0.046875  0.140625  0.480994  -0.000214148  -0.000543095  9.01823e-20
0.046875  0.15625  0.341668  -0.000157848  -0.000505863  -1.20959e-20
0.046875  0.171875  0.216516  -0.000103693  -0.000475793  1.73047e-19
0.046875  0.1875  0.10738  -5.25078e-05  -0.000455257  -4.94734e-20
0.046875  0.203125  0.0136221  -4.67829e-06  -0.000445261  1.83676e-19
0.046875  0.21875  -0.0673048  3.96003e-05  -0.000446001  -1.23463e-19
0.046875  0.234375  -0.138423  8.01579e-05  -0.000457053  -1.99479e-19
0.046875  0.25  -0.201742  0.000116782  -0.000477231  -9.31307e-20
0.046875  0.265625  -0.25746  0.000149313  -0.000504264  1.34198e-19
0.046875  0.28125  -0.304676  0.000177935  -0.000534802  1.50899e-19
0.046875  0.296875  -0.343627  0.000203376  -0.000565392  7.15428e-20
0.046875  0.3125  -0.377202  0.000226472  -0.000593839  5.11566e-20
0.046875  0.328125  -0.408494  0.00024719  -0.000618522  -1.10485e-19
0.046875  0.34375  -0.436321  0.00026468  -0.000635481  -2.4331e-20
0.046875  0.359375  -0.457542  0.000279259  -0.000639161  -4.42604e-19
0.046875  0.375  -0.475096  0.000292754  -0.00062845  4.92604e-19
0.046875  0.390625  -0.493196  0.000304736  -0.000604211  -1.53137e-19
0.046875  0.40625  -0.506695  0.000313449  -0.000561605  -5.36052e-19
0.046875  0.421875  -0.515782  0.000321349  -0.000500283  3.64731e-19
0.046875  0.4375  -0.526686  0.000328301  -0.000424592  5.21085e-20
0.046875  0.453125  -0.531856  0.000332216  -0.000332216  1.20255e-19
0.046875  0.46875  -0.537138  0.000336764  -0.000228634  2.02143e-19
0.046875  0.484375  -0.540494  0.000338226  -0.00011657  -1.17581e-19
0.046875  0.5  -0.540838  0.000339658  -4.63752e-19  9.47989e-19
0.046875  0.515625  -0.540494  0.000338226  0.00011657  -5.8109e-19
0.046875  0.53125  -0.537138  0.000336764  0.000228634  -9.349e-19
0.046875  0.546875  -0.531856  0.000332216  0.000332216  5.55145e-19
0.046875  0.5625  -0.526686  0.000328301  0.000424592  4.46515e-19
0.046875  0.578125  -0.515782  0.000321349  0.000500283  3.86119e-19
0.046875  0.59375  -0.506695  0.000313449  0.000561605  -1.91062e-19
0.046875  0.609375  -0.493196  0.000304736  0.000604211  6.38651e-20
0.046875  0.625  -0.475096  0.000292754  0.00062845  1.33989e-19
0.046875  0.640625  -0.457542  0.000279259  0.000639161  -1.57322e-19
0.046875  0.65625  -0.436321  0.00026468  0.000635481  3.65637e-19
0.046875  0.671875  -0.408494  0.00024719  0.000618522  2.49442e-19
0.046875  0.6875  -0.377202  0.000226472  0.000593839  8.35457e-19
0.046875  0.703125  -0.343627  0.000203376  0.000565392  1.91372e-19
0.046875  0.71875  -0.304676  0.000177935  0.000534802  -1.78225e-19
0.046875  0.734375  -0.25746  0.000149313  0.000504264  1.39786e-19
0.046875  0.75  -0.201742  0.000116782  0.000477231  -1.03454e-19
0.046875  0.765625  -0.138423  8.01579e-05  0.000457053  -3.79274e-19
0.046875  0.78125  -0.0673048  3.96003e-05  0.000446001  1.59471e-19
0.046875  0.796875  0.0136221  -4.67829e-06  0.000445261  -2.27764e-19
0.046875  0.8125  0.10738  -5.25078e-05  0.000455257  -1.25764e-21
0.046875  0.828125  0.216516  -0.000103693  0.000475793  -7.56093e-20
0.046875  0.84375  0.341668  -0.000157848  0.000505863  2.2272e-19
0.046875  0.859375  0.480994  -0.000214148  0.000543095  5.6301e-20
0.046875  0.875  0.631509  -0.000271049  0.000582817  2.57406e-19
0.046875  0.890625  0.792049  -0.000326194  0.0006171  4.22049e-20
0.046875  0.90625  0.963076  -0.000377044  0.000635082  1.21639e-19
0.046875  0.921875  1.13777  -0.000422156  0.000625537  1.47374e-19
0.046875  0.9375  1.29667  -0.000460929  0.000579867  -5.07807e-20
