# step = 0, time = 0, G_eff = 5000
# x  rho  phase  re  im  V
0.202148  1.5711e-07  0  0.000396372  0  0.019985
0.204102  1.98122e-07  0  0.000445109  0  0.0195883
0.206055  2.49458e-07  0  0.000499458  0  0.0191877
0.208008  3.13617e-07  0  0.000560015  0  0.0187834
0.209961  3.93676e-07  0  0.000627436  0  0.0183752
0.211914  4.93419e-07  0  0.000702438  0  0.0179632
0.213867  6.1749e-07  0  0.000785805  0  0.0175474
0.21582  7.7158e-07  0  0.000878396  0  0.0171278
0.217773  9.62653e-07  0  0.000981149  0  0.0167043
0.219727  1.19921e-06  0  0.00109509  0  0.0162771
0.22168  1.49162e-06  0  0.00122132  0  0.015846
0.223633  1.85251e-06  0  0.00136107  0  0.0154112
0.225586  2.29719e-06  0  0.00151565  0  0.0149725
0.227539  2.84429e-06  0  0.0016865  0  0.01453
0.229492  3.5163e-06  0  0.00187518  0  0.0140837
0.231445  4.34046e-06  0  0.00208338  0  0.0136335
0.233398  5.34962e-06  0  0.00231292  0  0.0131796
0.235352  6.58336e-06  0  0.00256581  0  0.0127218
0.237305  8.08927e-06  0  0.00284416  0  0.0122602
0.239258  9.9245e-06  0  0.00315032  0  0.0117948
0.241211  1.21575e-05  0  0.00348676  0  0.0113256
0.243164  1.48703e-05  0  0.0038562  0  0.0108526
0.245117  1.81606e-05  0  0.00426153  0  0.0103758
0.24707  2.21452e-05  0  0.00470586  0  0.00989512
0.249023  2.69628e-05  0  0.00519257  0  0.00941065
0.250977  3.27784e-05  0  0.00572524  0  0.00892237
0.25293  3.97876e-05  0  0.00630774  0  0.00843027
0.254883  4.82221e-05  0  0.00694421  0  0.00793436
0.256836  5.83554e-05  0  0.00763907  0  0.00743464
0.258789  7.05105e-05  0  0.00839705  0  0.0069311
0.260742  8.50674e-05  0  0.0092232  0  0.00642375
0.262695  0.000102473  0  0.0101229  0  0.00591258
0.264648  0.000123252  0  0.0111019  0  0.0053976
0.266602  0.000148019  0  0.0121663  0  0.0048788
0.268555  0.000177491  0  0.0133226  0  0.00435619
0.270508  0.000212506  0  0.0145776  0  0.00382977
0.272461  0.000254042  0  0.0159387  0  0.00329953
0.274414  0.000303233  0  0.0174136  0  0.00276548
0.276367  0.000361397  0  0.0190104  0  0.00222761
0.27832  0.000430061  0  0.0207379  0  0.00168593
0.280273  0.000510991  0  0.0226051  0  0.00114044
0.282227  0.000606224  0  0.0246216  0  0.000591138
0.28418  0.00071811  0  0.0267976  0  3.80209e-05
0.286133  0.000849348  0  0.0291436  0  -0.000518908
0.288086  0.00100304  0  0.0316708  0  -0.00107965
0.290039  0.00118274  0  0.0343909  0  -0.0016442
0.291992  0.0013925  0  0.0373162  0  -0.00221256
0.293945  0.00163696  0  0.0404594  0  -0.00278473
0.295898  0.00192141  0  0.0438339  0  -0.00336071
0.297852  0.00225185  0  0.0474536  0  -0.0039405
0.299805  0.00263509  0  0.0513331  0  -0.00452409
0.301758  0.00307885  0  0.0554874  0  -0.00511149
0.303711  0.00359186  0  0.0599321  0  -0.00570269
0.305664  0.00418396  0  0.0646835  0  -0.00629769
0.307617  0.00486623  0  0.0697584  0  -0.00689649
0.30957  0.00565113  0  0.075174  0  -0.00749909
0.311523  0.00655263  0  0.0809483  0  -0.00810548
0.313477  0.00758635  0  0.0870997  0  -0.00871565
0.31543  0.00876976  0  0.093647  0  -0.00932962
0.317383  0.0101223  0  0.10061  0  -0.00994736
0.319336  0.0116656  0  0.108008  0  -0.0105689
0.321289  0.0134238  0  0.115861  0  -0.0111942
0.323242  0.0154234  0  0.124191  0  -0.0118232
0.325195  0.0176938  0  0.133018  0  -0.012456
0.327148  0.0202675  0  0.142364  0  -0.0130926
0.329102  0.0231801  0  0.15225  0  -0.0137329
0.331055  0.0264709  0  0.162699  0  -0.0143769
0.333008  0.0301828  0  0.173732  0  -0.0150247
0.334961  0.0343627  0  0.185372  0  -0.0156761
0.336914  0.0390618  0  0.197641  0  -0.0163312
0.338867  0.0443358  0  0.210561  0  -0.01699
0.34082  0.0502452  0  0.224154  0  -0.0176524
0.342773  0.0568554  0  0.238444  0  -0.0183185
0.344727  0.0642371  0  0.25345  0  -0.0189881
0.34668  0.0724666  0  0.269196  0  -0.0196614
0.348633  0.0816257  0  0.285702  0  -0.0203381
0.350586  0.0918022  0  0.302989  0  -0.0210184
0.352539  0.10309  0  0.321076  0  -0.0217021
0.354492  0.115589  0  0.339984  0  -0.0223893
0.356445  0.129407  0  0.359731  0  -0.0230798
0.358398  0.144655  0  0.380335  0  -0.0237736
0.360352  0.161453  0  0.401812  0  -0.0244707
0.362305  0.179927  0  0.424178  0  -0.025171
0.364258  0.200209  0  0.447447  0  -0.0258745
0.366211  0.222438  0  0.471633  0  -0.026581
0.368164  0.246758  0  0.496747  0  -0.0272904
0.370117  0.273319  0  0.522799  0  -0.0280027
0.37207  0.302278  0  0.549798  0  -0.0287178
0.374023  0.333796  0  0.577751  0  -0.0294356
0.375977  0.368038  0  0.606661  0  -0.0301559
0.37793  0.405174  0  0.636533  0  -0.0308786
0.379883  0.445377  0  0.667366  0  -0.0316036
0.381836  0.488823  0  0.699159  0  -0.0323307
0.383789  0.535688  0  0.731907  0  -0.0330597
0.385742  0.586152  0  0.765606  0  -0.0337905
0.387695  0.640392  0  0.800245  0  -0.0345229
0.389648  0.698584  0  0.835813  0  -0.0352567
0.391602  0.760902  0  0.872297  0  -0.0359916
0.393555  0.827516  0  0.909679  0  -0.0367274
0.395508  0.898589  0  0.947939  0  -0.0374639
0.397461  0.974278  0  0.987055  0  -0.0382008
0.399414  1.05473  0  1.027  0  -0.0389378
0.401367  1.14009  0  1.06775  0  -0.0396745
0.40332  1.23048  0  1.10927  0  -0.0404107
0.405273  1.326  0  1.15152  0  -0.0411461
0.407227  1.42677  0  1.19447  0  -0.0418802
0.40918  1.53285  0  1.23808  0  -0.0426127
0.411133  1.64431  0  1.2823  0  -0.0433431
0.413086  1.76118  0  1.32709  0  -0.0440711
0.415039  1.88348  0  1.3724  0  -0.0447962
0.416992  2.01121  0  1.41817  0  -0.0455179
0.418945  2.14432  0  1.46435  0  -0.0462358
0.420898  2.28275  0  1.51088  0  -0.0469493
0.422852  2.42642  0  1.5577  0  -0.0476578
0.424805  2.5752  0  1.60474  0  -0.048361
0.426758  2.72893  0  1.65195  0  -0.0490582
0.428711  2.88743  0  1.69924  0  -0.0497487
0.430664  3.05048  0  1.74656  0  -0.0504321
0.432617  3.21782  0  1.79383  0  -0.0511076
0.43457  3.38917  0  1.84097  0  -0.0517747
0.436523  3.5642  0  1.88791  0  -0.0524326
0.438477  3.74255  0  1.93457  0  -0.0530808
0.44043  3.92383  0  1.98087  0  -0.0537185
0.442383  4.10763  0  2.02673  0  -0.054345
0.444336  4.29347  0  2.07207  0  -0.0549598
