# step = 12000, time = 0.12, G_eff = 5000
# x  rho  phase  re  im  V
0.334961  0.848749  0.837818  0.616413  0.684678  -0.0147181
0.336914  0.86718  0.831886  0.627164  0.688364  -0.0151956
0.338867  0.886166  0.825977  0.638093  0.692101  -0.0156737
0.34082  0.905729  0.820088  0.649207  0.695887  -0.0161522
0.342773  0.92589  0.814216  0.660513  0.699723  -0.0166311
0.344727  0.946672  0.808358  0.672018  0.703608  -0.0171102
0.34668  0.968098  0.802513  0.683728  0.707541  -0.0175895
0.348633  0.990192  0.796678  0.695649  0.711522  -0.018069
0.350586  1.01298  0.790851  0.707789  0.71555  -0.0185485
0.352539  1.03648  0.785031  0.720152  0.719623  -0.019028
0.354492  1.06072  0.779216  0.732745  0.723742  -0.0195073
0.356445  1.08572  0.773407  0.745574  0.727903  -0.0199864
0.358398  1.11152  0.7676  0.758642  0.732107  -0.0204652
0.360352  1.13813  0.761797  0.771955  0.736352  -0.0209435
0.362305  1.16558  0.755998  0.785518  0.740635  -0.0214213
0.364258  1.19389  0.750201  0.799333  0.744956  -0.0218985
0.366211  1.2231  0.744408  0.813404  0.749313  -0.022375
0.368164  1.25321  0.73862  0.827734  0.753703  -0.0228506
0.370117  1.28426  0.732837  0.842324  0.758126  -0.0233252
0.37207  1.31628  0.727061  0.857176  0.762578  -0.0237988
0.374023  1.34927  0.721294  0.872291  0.767057  -0.0242711
0.375977  1.38326  0.715536  0.887668  0.771562  -0.0247421
0.37793  1.41828  0.709791  0.903307  0.77609  -0.0252117
0.379883  1.45434  0.70406  0.919206  0.780638  -0.0256797
0.381836  1.49145  0.698346  0.935364  0.785205  -0.0261459
0.383789  1.52964  0.692652  0.951775  0.789787  -0.0266103
0.385742  1.56891  0.686981  0.968437  0.794382  -0.0270726
0.387695  1.60928  0.681335  0.985344  0.798987  -0.0275328
0.389648  1.65076  0.675718  1.00249  0.8036  -0.0279906
0.391602  1.69335  0.670134  1.01987  0.808218  -0.028446
0.393555  1.73705  0.664586  1.03747  0.812838  -0.0288987
0.395508  1.78187  0.659077  1.05529  0.817457  -0.0293486
0.397461  1.82781  0.653612  1.07332  0.822073  -0.0297956
0.399414  1.87485  0.648193  1.09153  0.826682  -0.0302394
0.401367  1.92299  0.642825  1.10994  0.831281  -0.0306798
0.40332  1.97221  0.637512  1.12851  0.835869  -0.0311167
0.405273  2.0225  0.632257  1.14724  0.840441  -0.03155
0.407227  2.07382  0.627064  1.16611  0.844995  -0.0319793
0.40918  2.12617  0.621937  1.1851  0.849527  -0.0324045
0.411133  2.1795  0.61688  1.20421  0.854036  -0.0328254
0.413086  2.23377  0.611895  1.22341  0.858517  -0.0332419
0.415039  2.28896  0.606987  1.24268  0.862968  -0.0336536
0.416992  2.345  0.602159  1.262  0.867386  -0.0340604
0.418945  2.40185  0.597415  1.28136  0.871768  -0.0344621
0.420898  2.45945  0.592757  1.30072  0.87611  -0.0348584
0.422852  2.51774  0.588188  1.32008  0.88041  -0.0352492
0.424805  2.57666  0.583712  1.33941  0.884664  -0.0356341
0.426758  2.63611  0.579331  1.35869  0.88887  -0.0360131
0.428711  2.69604  0.575048  1.37788  0.893023  -0.0363858
0.430664  2.75635  0.570866  1.39697  0.897121  -0.0367521
0.432617  2.81696  0.566786  1.41593  0.901162  -0.0371116
0.43457  2.87777  0.562811  1.43474  0.90514  -0.0374643
0.436523  2.93868  0.558943  1.45338  0.909054  -0.0378097
0.438477  2.99959  0.555183  1.4718  0.912899  -0.0381478
0.44043  3.06038  0.551534  1.49  0.916673  -0.0384782
0.442383  3.12096  0.547996  1.50794  0.920372  -0.0388008
0.444336  3.1812  0.544572  1.52559  0.923993  -0.0391152
0.446289  3.24097  0.541262  1.54294  0.927531  -0.0394214
0.448242  3.30017  0.538067  1.55995  0.930985  -0.039719
0.450195  3.35866  0.534989  1.57659  0.93435  -0.0400078
0.452148  3.41631  0.532027  1.59285  0.937622  -0.0402877
0.454102  3.473  0.529184  1.6087  0.940799  -0.0405583
0.456055  3.5286  0.526459  1.6241  0.943876  -0.0408194
0.458008  3.58296  0.523852  1.63904  0.946851  -0.041071
0.459961  3.63597  0.521365  1.65348  0.94972  -0.0413126
0.461914  3.68749  0.518997  1.66742  0.952479  -0.0415442
0.463867  3.73739  0.516748  1.68081  0.955124  -0.0417656
0.46582  3.78554  0.514619  1.69365  0.957654  -0.0419765
0.467773  3.83182  0.51261  1.7059  0.960064  -0.0421768
0.469727  3.87609  0.51072  1.71755  0.96235  -0.0423662
