# step = 360, a = 0.674906, z = 0.481689
# x  y  rho  log2rho
0.0859375  0.601562  0.522112  0.420099
0.0859375  0.617188  0.487066  0.396805
0.0859375  0.632812  0.5114  0.413037
0.0859375  0.648438  0.621984  0.48365
0.0859375  0.664062  0.697838  0.529356
0.0859375  0.679688  0.622737  0.484114
0.0859375  0.695312  0.553194  0.440313
0.0859375  0.710938  0.434862  0.361069
0.0859375  0.726562  0.416026  0.347854
0.0859375  0.742188  0.391565  0.330429
0.0859375  0.757812  0.501267  0.40631
0.0859375  0.773438  0.702791  0.532269
0.0859375  0.789062  1.49661  0.914935
0.0859375  0.804688  1.00501  0.695649
0.0859375  0.820312  0.433543  0.360149
0.0859375  0.835938  0.283776  0.249806
0.0859375  0.851562  0.502931  0.407417
0.0859375  0.867188  1.00546  0.695875
0.0859375  0.882812  0.47265  0.387064
0.0859375  0.898438  0.259304  0.230559
0.0859375  0.914062  0.265134  0.235178
0.0859375  0.929688  0.398074  0.335095
0.0859375  0.945312  0.43296  0.359742
0.0859375  0.960938  0.480758  0.392554
0.0859375  0.976562  0.516376  0.416324
0.0859375  0.992188  0.543274  0.433906

0.101562  0.0078125  0.625687  0.48593
0.101562  0.0234375  0.624488  0.485193
0.101562  0.0390625  0.606155  0.473843
0.101562  0.0546875  0.622055  0.483694
0.101562  0.0703125  0.654899  0.50374
0.101562  0.0859375  0.699529  0.530351
0.101562  0.101562  0.700108  0.530692
0.101562  0.117188  0.711293  0.537249
0.101562  0.132812  0.785686  0.579802
0.101562  0.148438  1.56814  0.943182
0.101562  0.164062  1.86744  1.05342
0.101562  0.179688  1.15398  0.767318
0.101562  0.195312  0.937459  0.661377
0.101562  0.210938  0.952459  0.66909
0.101562  0.226562  0.981665  0.683937
0.101562  0.242188  1.00372  0.695005
0.101562  0.257812  0.642387  0.49615
0.101562  0.273438  0.710828  0.536977
0.101562  0.289062  0.761389  0.566103
0.101562  0.304688  0.751722  0.560599
0.101562  0.320312  1.72158  1.00121
0.101562  0.335938  2.12463  1.13932
0.101562  0.351562  1.01181  0.699036
0.101562  0.367188  0.953535  0.66964
0.101562  0.382812  1.02272  0.704443
0.101562  0.398438  1.22481  0.799671
0.101562  0.414062  1.40513  0.877605
0.101562  0.429688  2.39901  1.22348
0.101562  0.445312  2.58285  1.27616
0.101562  0.460938  2.35047  1.2091
0.101562  0.476562  1.83885  1.0434
0.101562  0.492188  1.69758  0.992354
0.101562  0.507812  1.72446  1.00227
0.101562  0.523438  1.72621  1.00291
0.101562  0.539062  1.69946  0.993051
0.101562  0.554688  1.51483  0.922206
0.101562  0.570312  1.25568  0.813452
0.101562  0.585938  1.07134  0.728194
0.101562  0.601562  0.666035  0.510447
0.101562  0.617188  0.545268  0.435197
0.101562  0.632812  0.686744  0.5228
0.101562  0.648438  0.872317  0.627177
0.101562  0.664062  0.538064  0.430525
0.101562  0.679688  0.484637  0.39517
0.101562  0.695312  0.476239  0.389498
0.101562  0.710938  0.426284  0.355073
0.101562  0.726562  0.403319  0.33884
0.101562  0.742188  0.35201  0.301592
0.101562  0.757812  0.366989  0.31261
0.101562  0.773438  0.495375  0.402377
0.101562  0.789062  0.804936  0.590525
0.101562  0.804688  1.43889  0.891544
0.101562  0.820312  0.486679  0.396545
0.101562  0.835938  0.334698  0.288705
0.101562  0.851562  0.391855  0.330637
0.101562  0.867188  0.681229  0.519525
0.101562  0.882812  0.674116  0.515285
0.101562  0.898438  0.466543  0.382908
0.101562  0.914062  0.460422  0.378725
0.101562  0.929688  0.562379  0.44621
0.101562  0.945312  0.569213  0.450574
0.101562  0.960938  0.598952  0.469349
0.101562  0.976562  0.632649  0.490204
0.101562  0.992188  0.620418  0.482684

0.117188  0.0078125  0.728656  0.547344
0.117188  0.0234375  0.70238  0.532028
0.117188  0.0390625  0.743493  0.555891
0.117188  0.0546875  0.788666  0.58147
0.117188  0.0703125  0.787382  0.580752
0.117188  0.0859375  0.78792  0.581053
0.117188  0.101562  0.790301  0.582384
0.117188  0.117188  0.828207  0.603336
0.117188  0.132812  0.9816  0.683904
0.117188  0.148438  1.3803  0.867224
0.117188  0.164062  1.01313  0.699692
0.117188  0.179688  0.952073  0.668892
