# step = 0, a = 0.0196078, z = 50
# x  y  rho  log2rho
0.0546875  0.773438  1.03751  0.711726
0.0546875  0.789062  1.07467  0.729802
0.0546875  0.804688  0.940309  0.662847
0.0546875  0.820312  0.926748  0.655834
0.0546875  0.835938  0.941978  0.663707
0.0546875  0.851562  0.936284  0.660771
0.0546875  0.867188  0.96891  0.67748
0.0546875  0.882812  0.923677  0.654238
0.0546875  0.898438  0.844575  0.612249
0.0546875  0.914062  0.822676  0.600306
0.0546875  0.929688  0.784511  0.579145
0.0546875  0.945312  0.858831  0.619948
0.0546875  0.960938  0.823199  0.600592
0.0546875  0.976562  0.855874  0.618356
0.0546875  0.992188  0.857509  0.619236

0.0703125  0.0078125  0.849667  0.615006
0.0703125  0.0234375  0.834992  0.60704
0.0703125  0.0390625  0.894445  0.638926
0.0703125  0.0546875  0.992623  0.689452
0.0703125  0.0703125  1.05446  0.720011
0.0703125  0.0859375  1.00495  0.69562
0.0703125  0.101562  1.03927  0.712593
0.0703125  0.117188  1.04927  0.717485
0.0703125  0.132812  0.993527  0.689905
0.0703125  0.148438  0.990556  0.688414
0.0703125  0.164062  0.939008  0.662176
0.0703125  0.179688  1.01304  0.699647
0.0703125  0.195312  0.99678  0.691536
0.0703125  0.210938  1.00236  0.694327
0.0703125  0.226562  1.00173  0.694012
0.0703125  0.242188  0.987919  0.687089
0.0703125  0.257812  1.04492  0.715357
0.0703125  0.273438  1.10999  0.746685
0.0703125  0.289062  1.10595  0.744768
0.0703125  0.304688  1.11062  0.746981
0.0703125  0.320312  1.05839  0.721923
0.0703125  0.335938  1.09001  0.737168
0.0703125  0.351562  1.14998  0.765457
0.0703125  0.367188  1.18775  0.782873
0.0703125  0.382812  1.09632  0.740184
0.0703125  0.398438  1.04648  0.716121
0.0703125  0.414062  1.01447  0.700357
0.0703125  0.429688  1.09594  0.740002
0.0703125  0.445312  1.08514  0.734838
0.0703125  0.460938  1.05157  0.718604
0.0703125  0.476562  1.02419  0.705168
0.0703125  0.492188  1.02407  0.705111
0.0703125  0.507812  1.06239  0.723866
0.0703125  0.523438  1.01382  0.700035
0.0703125  0.539062  1.04636  0.716063
0.0703125  0.554688  0.970201  0.678135
0.0703125  0.570312  0.952374  0.669046
0.0703125  0.585938  0.871429  0.626702
0.0703125  0.601562  0.827566  0.602985
0.0703125  0.617188  0.819486  0.598554
0.0703125  0.632812  0.817816  0.597636
0.0703125  0.648438  0.90153  0.642659
0.0703125  0.664062  0.908709  0.646427
0.0703125  0.679688  0.932082  0.658598
0.0703125  0.695312  0.943818  0.664654
0.0703125  0.710938  0.8989  0.641275
0.0703125  0.726562  0.905615  0.644805
0.0703125  0.742188  0.970534  0.678304
0.0703125  0.757812  0.953943  0.669849
0.0703125  0.773438  1.03971  0.712809
0.0703125  0.789062  1.04554  0.715662
0.0703125  0.804688  0.948455  0.667037
0.0703125  0.820312  0.904051  0.643984
0.0703125  0.835938  0.940811  0.663106
0.0703125  0.851562  0.94296  0.664213
0.0703125  0.867188  0.987076  0.686664
0.0703125  0.882812  0.928598  0.656793
0.0703125  0.898438  0.864386  0.622932
0.0703125  0.914062  0.862972  0.622173
0.0703125  0.929688  0.79799  0.586669
0.0703125  0.945312  0.841109  0.610368
0.0703125  0.960938  0.893137  0.638235
0.0703125  0.976562  0.899749  0.641722
0.0703125  0.992188  0.851666  0.616086

0.0859375  0.0078125  0.860678  0.620941
0.0859375  0.0234375  0.873242  0.627671
0.0859375  0.0390625  0.914126  0.649261
0.0859375  0.0546875  0.956597  0.671207
0.0859375  0.0703125  0.996066  0.691178
0.0859375  0.0859375  0.990013  0.688141
0.0859375  0.101562  0.983006  0.684614
0.0859375  0.117188  0.956956  0.67139
0.0859375  0.132812  1.03632  0.711145
0.0859375  0.148438  1.02334  0.704751
0.0859375  0.164062  0.958197  0.672024
0.0859375  0.179688  0.930827  0.657948
0.0859375  0.195312  0.96814  0.677089
0.0859375  0.210938  0.967673  0.676851
0.0859375  0.226562  0.967649  0.67684
0.0859375  0.242188  1.01  0.698133
0.0859375  0.257812  1.03531  0.710649
0.0859375  0.273438  1.03424  0.710123
0.0859375  0.289062  0.964513  0.675244
0.0859375  0.304688  1.01514  0.70069
0.0859375  0.320312  1.03544  0.710711
0.0859375  0.335938  1.07015  0.727623
0.0859375  0.351562  1.06839  0.72677
0.0859375  0.367188  1.10322  0.743471
0.0859375  0.382812  1.0486  0.717155
0.0859375  0.398438  1.00893  0.697605
