# step = 80, a = 0.0430471, z = 22.2304
# x  y  rho  vx_current  vy_current  vx_phase  vy_phase
0.0234375  0.835938  1.01474  -0.00192169  -0.000467039  -0.00189614  -0.000507147
0.0234375  0.851562  0.894266  -0.0018146  -0.00137284  -0.00176964  -0.00138769
0.0234375  0.867188  0.791071  -0.00176925  -0.00180748  -0.0017917  -0.00183106
0.0234375  0.882812  0.726522  -0.00208834  -0.0017897  -0.00205722  -0.00180571
0.0234375  0.898438  0.657291  -0.00252392  -0.000845274  -0.0025936  -0.000816238
0.0234375  0.914062  0.628987  -0.00245952  0.000473197  -0.00280285  0.000509655
0.0234375  0.929688  0.564344  -0.00267829  0.00202892  -0.00287354  0.00184759
0.0234375  0.945312  0.746748  -0.00286543  0.00302675  -0.00319726  0.00323929
0.0234375  0.960938  0.832491  -0.00316178  0.00368071  -0.00346231  0.00409227
0.0234375  0.976562  0.799453  -0.00340372  0.00407434  -0.00374486  0.00435064
0.0234375  0.992188  0.808783  -0.00340959  0.0040134  -0.00388725  0.00485047

0.0390625  0.0078125  0.489037  -0.00189583  0.00520309  -0.00185445  0.0063313
0.0390625  0.0234375  0.392557  -0.00180962  0.00683237  -0.00164814  0.00783084
0.0390625  0.0390625  0.542721  -0.000863384  0.00627403  -0.000942489  0.00925693
0.0390625  0.0546875  0.691242  2.80374e-05  0.00624884  -2.66445e-05  -0.0100217
0.0390625  0.0703125  0.790621  0.000887724  0.00642726  0.00079736  -0.00978231
0.0390625  0.0859375  0.914378  0.0013678  0.00595348  0.00134382  -0.00997356
0.0390625  0.101562  0.792437  0.00119954  0.00622528  0.00112633  0.00967614
0.0390625  0.117188  0.60959  0.00110784  0.00715406  0.000999563  0.00922555
0.0390625  0.132812  0.757143  0.000563786  0.00626117  0.000552171  0.0087913
0.0390625  0.148438  0.921401  -8.98958e-05  0.00571816  -9.07932e-05  0.00805142
0.0390625  0.164062  0.87856  -0.000817366  0.00604642  -0.000837379  0.00752747
0.0390625  0.179688  0.919719  -0.000951581  0.00606857  -0.000950857  0.00757597
0.0390625  0.195312  1.05357  -0.00102375  0.00574947  -0.0010575  0.0077627
0.0390625  0.210938  1.01993  -0.00148034  0.00640274  -0.00154345  0.0079578
0.0390625  0.226562  1.22704  -0.00170415  0.0056359  -0.0019699  0.00831823
0.0390625  0.242188  1.03155  -0.00202442  0.00656491  -0.00215945  0.00841049
0.0390625  0.257812  1.09507  -0.0021619  0.00638385  -0.00230057  0.00821353
0.0390625  0.273438  1.35128  -0.00226525  0.00564937  -0.00234102  0.00733341
0.0390625  0.289062  1.51857  -0.00214796  0.00505862  -0.00232989  0.0059459
0.0390625  0.304688  1.66507  -0.00215668  0.00382222  -0.00249836  0.00419039
0.0390625  0.320312  1.87985  -0.00165625  0.00121212  -0.00218515  0.00136521
0.0390625  0.335938  2.09063  -0.00105795  -0.00150974  -0.00130307  -0.00168024
0.0390625  0.351562  1.79845  0.000296507  -0.00386079  0.00053092  -0.00419442
0.0390625  0.367188  1.66523  0.0011393  -0.00559831  0.00143751  -0.00650045
0.0390625  0.382812  1.84045  0.0019247  -0.0057946  0.00227453  -0.00835417
0.0390625  0.398438  1.61712  0.00268546  -0.00611805  0.00306217  -0.00948938
0.0390625  0.414062  1.19041  0.00353979  -0.00676398  0.00394393  0.00986052
0.0390625  0.429688  1.07813  0.00423124  -0.00638706  0.00489262  0.00938999
0.0390625  0.445312  0.985751  0.00475874  -0.00636406  0.00583898  0.00942145
0.0390625  0.460938  0.89647  0.00462535  -0.00652391  0.00544238  0.00933052
0.0390625  0.476562  0.904885  0.00481736  -0.00616951  0.005305  0.00889209
0.0390625  0.492188  0.843336  0.00465733  -0.0060896  0.00520447  0.00868796
0.0390625  0.507812  0.70018  0.00498113  -0.00635617  0.00535938  0.00789344
0.0390625  0.523438  0.727696  0.00463023  -0.00574092  0.00546694  0.00752809
0.0390625  0.539062  0.679938  0.00428811  -0.00584426  0.00477489  0.00863763
0.0390625  0.554688  0.495228  0.00394646  -0.00723882  0.00396375  -0.0099284
0.0390625  0.570312  0.610099  0.00268663  -0.00619432  0.00276281  -0.00890826
0.0390625  0.585938  0.695752  0.00174611  -0.00598768  0.001634  -0.0082057
0.0390625  0.601562  0.729416  0.00088836  -0.00509742  0.000950352  -0.00682912
0.0390625  0.617188  0.526188  0.000630775  -0.00531742  0.000640587  -0.00553529
0.0390625  0.632812  0.527168  9.62613e-05  -0.00417565  8.32681e-05  -0.00428168
0.0390625  0.648438  0.692794  0.000123909  -0.00255641  0.000112587  -0.00285069
0.0390625  0.664062  0.720631  -0.000232448  -0.0019894  -0.000235172  -0.00213366
0.0390625  0.679688  0.605233  -0.000635345  -0.00166224  -0.000582803  -0.00168036
