# step = 400, a = 1, z = -1.64313e-14
# x  y  rho  log2rho
0.0546875  0.304688  1.20023  0.788562
0.0546875  0.320312  2.345  1.20747
0.0546875  0.335938  4.23758  1.65586
0.0546875  0.351562  2.59251  1.27885
0.0546875  0.367188  2.91621  1.36513
0.0546875  0.382812  3.29687  1.45789
0.0546875  0.398438  2.18367  1.15804
0.0546875  0.414062  0.684122  0.521244
0.0546875  0.429688  0.895457  0.63946
0.0546875  0.445312  0.862344  0.621836
0.0546875  0.460938  0.866849  0.624252
0.0546875  0.476562  0.861517  0.621392
0.0546875  0.492188  0.873655  0.627891
0.0546875  0.507812  0.903642  0.643769
0.0546875  0.523438  0.867176  0.624427
0.0546875  0.539062  0.754536  0.562204
0.0546875  0.554688  0.691044  0.525346
0.0546875  0.570312  0.566449  0.448812
0.0546875  0.585938  0.435321  0.361389
0.0546875  0.601562  0.358813  0.306612
0.0546875  0.617188  0.318727  0.276667
0.0546875  0.632812  0.370476  0.315158
0.0546875  0.648438  0.401547  0.337576
0.0546875  0.664062  0.476459  0.389647
0.0546875  0.679688  0.640253  0.494851
0.0546875  0.695312  0.759533  0.565049
0.0546875  0.710938  0.756335  0.563229
0.0546875  0.726562  0.590464  0.464026
0.0546875  0.742188  1.01478  0.700511
0.0546875  0.757812  1.71605  0.999178
0.0546875  0.773438  1.71724  0.999618
0.0546875  0.789062  1.58357  0.949172
0.0546875  0.804688  0.658199  0.505732
0.0546875  0.820312  0.426636  0.355319
0.0546875  0.835938  0.581194  0.45818
0.0546875  0.851562  0.89183  0.637544
0.0546875  0.867188  0.341927  0.294107
0.0546875  0.882812  0.154063  0.143289
0.0546875  0.898438  0.121118  0.114327
0.0546875  0.914062  0.15858  0.147195
0.0546875  0.929688  0.200051  0.182364
0.0546875  0.945312  0.22107  0.199727
0.0546875  0.960938  0.248279  0.221766
0.0546875  0.976562  0.31433  0.273327
0.0546875  0.992188  0.374617  0.318175

0.0703125  0.0078125  0.430378  0.357939
0.0703125  0.0234375  0.426182  0.355001
0.0703125  0.0390625  0.555384  0.441722
0.0703125  0.0546875  0.618497  0.481498
0.0703125  0.0703125  0.731886  0.549211
0.0703125  0.0859375  0.81928  0.598441
0.0703125  0.101562  0.90862  0.64638
0.0703125  0.117188  0.91203  0.648165
0.0703125  0.132812  0.904069  0.643993
0.0703125  0.148438  0.798567  0.58699
0.0703125  0.164062  0.705818  0.534045
0.0703125  0.179688  0.846596  0.613344
0.0703125  0.195312  1.0262  0.70616
0.0703125  0.210938  1.03801  0.711975
0.0703125  0.226562  0.995938  0.691114
0.0703125  0.242188  0.90346  0.643673
0.0703125  0.257812  0.639116  0.494157
0.0703125  0.273438  0.813929  0.595495
0.0703125  0.289062  0.864194  0.622829
0.0703125  0.304688  0.848457  0.614351
0.0703125  0.320312  1.43956  0.891817
0.0703125  0.335938  2.56651  1.27159
0.0703125  0.351562  1.56547  0.942141
0.0703125  0.367188  1.13532  0.758618
0.0703125  0.382812  1.20615  0.79125
0.0703125  0.398438  1.68057  0.986028
0.0703125  0.414062  2.11978  1.13776
0.0703125  0.429688  1.07408  0.72952
0.0703125  0.445312  0.804895  0.590503
0.0703125  0.460938  0.823612  0.600819
0.0703125  0.476562  0.781528  0.577472
0.0703125  0.492188  0.783203  0.578411
0.0703125  0.507812  1.05327  0.719434
0.0703125  0.523438  1.03883  0.712375
0.0703125  0.539062  1.00275  0.694524
0.0703125  0.554688  0.950043  0.667852
0.0703125  0.570312  0.770906  0.571491
0.0703125  0.585938  0.582018  0.458701
0.0703125  0.601562  0.425028  0.354191
0.0703125  0.617188  0.348155  0.298737
0.0703125  0.632812  0.421726  0.351872
0.0703125  0.648438  0.556423  0.44239
0.0703125  0.664062  0.696922  0.528816
0.0703125  0.679688  0.651399  0.501623
0.0703125  0.695312  0.57389  0.45355
0.0703125  0.710938  0.41492  0.347073
0.0703125  0.726562  0.358796  0.306599
0.0703125  0.742188  0.451874  0.372855
0.0703125  0.757812  0.792187  0.583437
0.0703125  0.773438  0.914435  0.649423
0.0703125  0.789062  1.61186  0.960063
0.0703125  0.804688  0.795122  0.585073
0.0703125  0.820312  0.410321  0.343817
0.0703125  0.835938  0.390625  0.329753
0.0703125  0.851562  0.918265  0.651421
0.0703125  0.867188  0.627051  0.486769
0.0703125  0.882812  0.257362  0.229016
0.0703125  0.898438  0.179142  0.164787
0.0703125  0.914062  0.216396  0.195893
0.0703125  0.929688  0.274562  0.242603
0.0703125  0.945312  0.268673  0.237972
0.0703125  0.960938  0.330314  0.285415
0.0703125  0.976562  0.41971  0.350452
0.0703125  0.992188  0.450752  0.372082

0.0859375  0.0078125  0.499938  0.405424
0.0859375  0.0234375  0.501616  0.406542
0.0859375  0.0390625  0.502169  0.40691
0.0859375  0.0546875  0.550097  0.438318
0.0859375  0.0703125  0.645562  0.498082
0.0859375  0.0859375  0.653581  0.502943
0.0859375  0.101562  0.718891  0.541679
0.0859375  0.117188  0.809769  0.593199
0.0859375  0.132812  0.855035  0.617904
0.0859375  0.148438  0.882718  0.632717
0.0859375  0.164062  1.09816  0.741061
0.0859375  0.179688  1.29307  0.829891
0.0859375  0.195312  1.00634  0.696312
0.0859375  0.210938  0.966583  0.676298
0.0859375  0.226562  0.96314  0.674545
0.0859375  0.242188  0.950678  0.668177
0.0859375  0.257812  0.641466  0.495589
0.0859375  0.273438  0.764272  0.567738
0.0859375  0.289062  0.797583  0.586443
0.0859375  0.304688  0.720421  0.542569
0.0859375  0.320312  1.63136  0.967502
0.0859375  0.335938  2.16589  1.15243
0.0859375  0.351562  1.36959  0.862719
0.0859375  0.367188  1.02019  0.703191
0.0859375  0.382812  1.08166  0.733165
0.0859375  0.398438  1.3934  0.872716
0.0859375  0.414062  2.19122  1.1604
0.0859375  0.429688  1.94815  1.08118
0.0859375  0.445312  1.74713  1.01056
0.0859375  0.460938  1.50592  0.918656
0.0859375  0.476562  1.67776  0.98498
0.0859375  0.492188  1.70927  0.996681
0.0859375  0.507812  1.4813  0.908784
0.0859375  0.523438  1.45236  0.897049
0.0859375  0.539062  1.29594  0.831143
0.0859375  0.554688  1.08137  0.733026
0.0859375  0.570312  0.997123  0.691708
0.0859375  0.585938  0.762783  0.566894
0.0859375  0.601562  0.553457  0.440483
0.0859375  0.617188  0.45973  0.378251
0.0859375  0.632812  0.534898  0.428464
0.0859375  0.648438  0.641039  0.49533
0.0859375  0.664062  0.705446  0.533827
0.0859375  0.679688  0.583526  0.459654
0.0859375  0.695312  0.541398  0.43269
0.0859375  0.710938  0.446509  0.369153
0.0859375  0.726562  0.424972  0.354152
0.0859375  0.742188  0.382728  0.324058
0.0859375  0.757812  0.471006  0.385947
0.0859375  0.773438  0.710112  0.536559
0.0859375  0.789062  1.49171  0.912967
0.0859375  0.804688  0.961474  0.673696
0.0859375  0.820312  0.433611  0.360196
0.0859375  0.835938  0.276818  0.244371
