# D = 1
# x/p  delta  log(2+delta)  velocity
0.445312  0.00941544  0.30307  0.000536163
0.447266  0.00945607  0.303079  0.000517734
0.449219  0.00949528  0.303087  0.000499227
0.451172  0.00953306  0.303095  0.000480645
0.453125  0.0095694  0.303103  0.00046199
0.455078  0.00960431  0.303111  0.000443266
0.457031  0.00963776  0.303118  0.000424476
0.458984  0.00966976  0.303125  0.000405621
0.460938  0.00970031  0.303131  0.000386705
0.462891  0.0097294  0.303138  0.000367731
0.464844  0.00975702  0.303144  0.000348701
0.466797  0.00978317  0.303149  0.000329619
0.46875  0.00980785  0.303155  0.000310488
0.470703  0.00983105  0.30316  0.00029131
0.472656  0.00985278  0.303164  0.000272087
0.474609  0.00987301  0.303169  0.000252824
0.476562  0.00989177  0.303173  0.000233523
0.478516  0.00990903  0.303176  0.000214186
0.480469  0.0099248  0.30318  0.000194818
0.482422  0.00993907  0.303183  0.00017542
0.484375  0.00995185  0.303186  0.000155995
0.486328  0.00996313  0.303188  0.000136547
0.488281  0.0099729  0.30319  0.000117079
0.490234  0.00998118  0.303192  9.75925e-05
0.492188  0.00998795  0.303193  7.80916e-05
0.494141  0.00999322  0.303195  5.8579e-05
0.496094  0.00999699  0.303195  3.90576e-05
0.498047  0.00999925  0.303196  1.95303e-05
0.5  0.01  0.303196  -2.81361e-17
0.501953  0.00999925  0.303196  -1.95303e-05
0.503906  0.00999699  0.303195  -3.90576e-05
0.505859  0.00999322  0.303195  -5.8579e-05
0.507812  0.00998795  0.303193  -7.80916e-05
0.509766  0.00998118  0.303192  -9.75925e-05
0.511719  0.0099729  0.30319  -0.000117079
0.513672  0.00996313  0.303188  -0.000136547
0.515625  0.00995185  0.303186  -0.000155995
0.517578  0.00993907  0.303183  -0.00017542
0.519531  0.0099248  0.30318  -0.000194818
0.521484  0.00990903  0.303176  -0.000214186
0.523438  0.00989177  0.303173  -0.000233523
0.525391  0.00987301  0.303169  -0.000252824
0.527344  0.00985278  0.303164  -0.000272087
0.529297  0.00983105  0.30316  -0.00029131
0.53125  0.00980785  0.303155  -0.000310488
0.533203  0.00978317  0.303149  -0.000329619
0.535156  0.00975702  0.303144  -0.000348701
0.537109  0.0097294  0.303138  -0.000367731
0.539062  0.00970031  0.303131  -0.000386705
0.541016  0.00966976  0.303125  -0.000405621
0.542969  0.00963776  0.303118  -0.000424476
0.544922  0.00960431  0.303111  -0.000443266
0.546875  0.0095694  0.303103  -0.00046199
0.548828  0.00953306  0.303095  -0.000480645
0.550781  0.00949528  0.303087  -0.000499227
0.552734  0.00945607  0.303079  -0.000517734
0.554688  0.00941544  0.30307  -0.000536163
0.556641  0.00937339  0.303061  -0.000554511
0.558594  0.00932993  0.303051  -0.000572776
0.560547  0.00928506  0.303042  -0.000590954
0.5625  0.0092388  0.303032  -0.000609044
0.564453  0.00919114  0.303021  -0.000627042
0.566406  0.0091421  0.303011  -0.000644945
0.568359  0.00909168  0.303  -0.000662751
0.570312  0.00903989  0.302989  -0.000680458
0.572266  0.00898674  0.302977  -0.000698061
0.574219  0.00893224  0.302965  -0.00071556
0.576172  0.0088764  0.302953  -0.000732951
0.578125  0.00881921  0.302941  -0.000750232
0.580078  0.0087607  0.302928  -0.0007674
0.582031  0.00870087  0.302915  -0.000784452
0.583984  0.00863973  0.302902  -0.000801386
0.585938  0.00857729  0.302889  -0.000818199
0.587891  0.00851355  0.302875  -0.000834889
0.589844  0.00844854  0.302861  -0.000851453
0.591797  0.00838225  0.302846  -0.000867889
0.59375  0.0083147  0.302832  -0.000884195
0.595703  0.00824589  0.302817  -0.000900367
0.597656  0.00817585  0.302802  -0.000916404
0.599609  0.00810457  0.302786  -0.000932302
0.601562  0.00803208  0.302771  -0.000948061
0.603516  0.00795837  0.302755  -0.000963676
0.605469  0.00788346  0.302739  -0.000979146
0.607422  0.00780737  0.302722  -0.000994469
0.609375  0.0077301  0.302705  -0.00100964
0.611328  0.00765167  0.302688  -0.00102466
0.613281  0.00757209  0.302671  -0.00103953
0.615234  0.00749136  0.302654  -0.00105424
0.617188  0.00740951  0.302636  -0.00106879
0.619141  0.00732654  0.302618  -0.00108318
0.621094  0.00724247  0.3026  -0.00109741
0.623047  0.00715731  0.302581  -0.00111147
0.625  0.00707107  0.302563  -0.00112537
0.626953  0.00698376  0.302544  -0.00113909
0.628906  0.00689541  0.302525  -0.00115265
0.630859  0.00680601  0.302505  -0.00116603
0.632812  0.00671559  0.302486  -0.00117923
0.634766  0.00662416  0.302466  -0.00119226
0.636719  0.00653173  0.302446  -0.0012051
0.638672  0.00643832  0.302426  -0.00121777
0.640625  0.00634393  0.302405  -0.00123025
0.642578  0.00624859  0.302385  -0.00124255
0.644531  0.00615232  0.302364  -0.00125466
0.646484  0.00605511  0.302343  -0.00126658
0.648438  0.00595699  0.302322  -0.00127831
0.650391  0.00585798  0.3023  -0.00128985
0.652344  0.00575808  0.302279  -0.00130119
0.654297  0.00565732  0.302257  -0.00131234
0.65625  0.0055557  0.302235  -0.00132329
0.658203  0.00545325  0.302213  -0.00133404
0.660156  0.00534998  0.30219  -0.00134459
0.662109  0.0052459  0.302168  -0.00135494
0.664062  0.00514103  0.302145  -0.00136508
0.666016  0.00503538  0.302122  -0.00137502
0.667969  0.00492898  0.302099  -0.00138475
0.669922  0.00482184  0.302076  -0.00139427
0.671875  0.00471397  0.302052  -0.00140359
0.673828  0.00460539  0.302029  -0.00141269
0.675781  0.00449611  0.302005  -0.00142157
0.677734  0.00438616  0.301981  -0.00143025
0.679688  0.00427555  0.301957  -0.00143871
0.681641  0.0041643  0.301933  -0.00144695
0.683594  0.00405241  0.301909  -0.00145497
0.685547  0.00393992  0.301885  -0.00146278
0.6875  0.00382683  0.30186  -0.00147036
0.689453  0.00371317  0.301836  -0.00147773
0.691406  0.00359895  0.301811  -0.00148487
0.693359  0.00348419  0.301786  -0.00149178
0.695312  0.0033689  0.301761  -0.00149848
0.697266  0.0032531  0.301736  -0.00150494
0.699219  0.00313682  0.301711  -0.00151118
0.701172  0.00302006  0.301685  -0.0015172
0.703125  0.00290285  0.30166  -0.00152298
0.705078  0.0027852  0.301634  -0.00152853
0.707031  0.00266713  0.301609  -0.00153386
0.708984  0.00254866  0.301583  -0.00153895
0.710938  0.0024298  0.301557  -0.00154381
0.712891  0.00231058  0.301531  -0.00154844
0.714844  0.00219101  0.301506  -0.00155284
0.716797  0.00207111  0.301479  -0.001557
0.71875  0.0019509  0.301453  -0.00156093
0.720703  0.0018304  0.301427  -0.00156462
0.722656  0.00170962  0.301401  -0.00156808
0.724609  0.00158858  0.301375  -0.0015713
0.726562  0.0014673  0.301349  -0.00157428
0.728516  0.00134581  0.301322  -0.00157703
0.730469  0.00122411  0.301296  -0.00157954
0.732422  0.00110222  0.301269  -0.00158181
0.734375  0.000980171  0.301243  -0.00158385
0.736328  0.000857973  0.301216  -0.00158564
0.738281  0.000735646  0.30119  -0.0015872
0.740234  0.000613207  0.301163  -0.00158851
0.742188  0.000490677  0.301137  -0.00158959
0.744141  0.000368072  0.30111  -0.00159043
0.746094  0.000245412  0.301083  -0.00159103
0.748047  0.000122715  0.301057  -0.00159139
0.75  -2.22045e-16  0.30103  -0.00159151
0.751953  -0.000122715  0.301003  -0.00159139
0.753906  -0.000245412  0.300977  -0.00159103
0.755859  -0.000368072  0.30095  -0.00159043
0.757812  -0.000490677  0.300923  -0.00158959
0.759766  -0.000613207  0.300897  -0.00158851
0.761719  -0.000735646  0.30087  -0.0015872
0.763672  -0.000857973  0.300844  -0.00158564
0.765625  -0.000980171  0.300817  -0.00158385
0.767578  -0.00110222  0.300791  -0.00158181
0.769531  -0.00122411  0.300764  -0.00157954
0.771484  -0.00134581  0.300738  -0.00157703
0.773438  -0.0014673  0.300711  -0.00157428
0.775391  -0.00158858  0.300685  -0.0015713
0.777344  -0.00170962  0.300659  -0.00156808
0.779297  -0.0018304  0.300632  -0.00156462
0.78125  -0.0019509  0.300606  -0.00156093
0.783203  -0.00207111  0.30058  -0.001557
0.785156  -0.00219101  0.300554  -0.00155284
0.787109  -0.00231058  0.300528  -0.00154844
0.789062  -0.0024298  0.300502  -0.00154381
0.791016  -0.00254866  0.300476  -0.00153895
0.792969  -0.00266713  0.30045  -0.00153386
0.794922  -0.0027852  0.300425  -0.00152853
0.796875  -0.00290285  0.300399  -0.00152298
0.798828  -0.00302006  0.300374  -0.0015172
0.800781  -0.00313682  0.300348  -0.00151118
0.802734  -0.0032531  0.300323  -0.00150494
0.804688  -0.0033689  0.300298  -0.00149848
0.806641  -0.00348419  0.300273  -0.00149178
0.808594  -0.00359895  0.300248  -0.00148487
0.810547  -0.00371317  0.300223  -0.00147773
0.8125  -0.00382683  0.300198  -0.00147036
0.814453  -0.00393992  0.300174  -0.00146278
0.816406  -0.00405241  0.300149  -0.00145497
0.818359  -0.0041643  0.300125  -0.00144695
0.820312  -0.00427555  0.300101  -0.00143871
0.822266  -0.00438616  0.300077  -0.00143025
0.824219  -0.00449611  0.300053  -0.00142158
0.826172  -0.00460539  0.300029  -0.00141269
0.828125  -0.00471397  0.300005  -0.00140359
0.830078  -0.00482184  0.299982  -0.00139427
0.832031  -0.00492898  0.299958  -0.00138475
0.833984  -0.00503538  0.299935  -0.00137502
0.835938  -0.00514103  0.299912  -0.00136508
0.837891  -0.0052459  0.299889  -0.00135494
0.839844  -0.00534998  0.299867  -0.00134459
0.841797  -0.00545325  0.299844  -0.00133404
0.84375  -0.0055557  0.299822  -0.00132329
0.845703  -0.00565732  0.2998  -0.00131234
0.847656  -0.00575808  0.299778  -0.00130119
0.849609  -0.00585798  0.299756  -0.00128985
0.851562  -0.00595699  0.299735  -0.00127831
0.853516  -0.00605511  0.299713  -0.00126658
0.855469  -0.00615232  0.299692  -0.00125466
0.857422  -0.00624859  0.299671  -0.00124255
0.859375  -0.00634393  0.29965  -0.00123025
0.861328  -0.00643832  0.29963  -0.00121777
0.863281  -0.00653173  0.299609  -0.00120511
0.865234  -0.00662416  0.299589  -0.00119226
0.867188  -0.00671559  0.299569  -0.00117923
0.869141  -0.00680601  0.29955  -0.00116603
0.871094  -0.00689541  0.29953  -0.00115265
0.873047  -0.00698376  0.299511  -0.00113909
0.875  -0.00707107  0.299492  -0.00112537
0.876953  -0.00715731  0.299473  -0.00111147
0.878906  -0.00724247  0.299454  -0.00109741
0.880859  -0.00732654  0.299436  -0.00108318
0.882812  -0.00740951  0.299418  -0.00106879
0.884766  -0.00749136  0.2994  -0.00105424
0.886719  -0.00757209  0.299383  -0.00103953
0.888672  -0.00765167  0.299365  -0.00102466
0.890625  -0.0077301  0.299348  -0.00100964
0.892578  -0.00780737  0.299331  -0.00099447
0.894531  -0.00788346  0.299315  -0.000979147
0.896484  -0.00795837  0.299298  -0.000963677
0.898438  -0.00803208  0.299282  -0.000948062
0.900391  -0.00810457  0.299267  -0.000932303
0.902344  -0.00817585  0.299251  -0.000916405
0.904297  -0.00824589  0.299236  -0.000900368
0.90625  -0.0083147  0.299221  -0.000884196
0.908203  -0.00838225  0.299206  -0.00086789
0.910156  -0.00844854  0.299192  -0.000851454
0.912109  -0.00851355  0.299177  -0.00083489
0.914062  -0.00857729  0.299163  -0.0008182
0.916016  -0.00863973  0.29915  -0.000801387
0.917969  -0.00870087  0.299137  -0.000784453
0.919922  -0.0087607  0.299123  -0.000767401
0.921875  -0.00881921  0.299111  -0.000750233
0.923828  -0.0088764  0.299098  -0.000732952
0.925781  -0.00893224  0.299086  -0.000715561
0.927734  -0.00898674  0.299074  -0.000698062
0.929688  -0.00903989  0.299063  -0.000680458
0.931641  -0.00909168  0.299051  -0.000662752
0.933594  -0.0091421  0.29904  -0.000644946
0.935547  -0.00919114  0.29903  -0.000627043
0.9375  -0.0092388  0.299019  -0.000609045
0.939453  -0.00928506  0.299009  -0.000590955
0.941406  -0.00932993  0.298999  -0.000572777
0.943359  -0.00937339  0.29899  -0.000554512
0.945312  -0.00941544  0.298981  -0.000536164
0.947266  -0.00945607  0.298972  -0.000517735
0.949219  -0.00949528  0.298963  -0.000499228
0.951172  -0.00953306  0.298955  -0.000480646
0.953125  -0.0095694  0.298947  -0.000461991
0.955078  -0.00960431  0.298939  -0.000443267
0.957031  -0.00963776  0.298932  -0.000424476
0.958984  -0.00966976  0.298925  -0.000405621
0.960938  -0.00970031  0.298918  -0.000386706
0.962891  -0.0097294  0.298912  -0.000367731
0.964844  -0.00975702  0.298906  -0.000348702
0.966797  -0.00978317  0.2989  -0.00032962
0.96875  -0.00980785  0.298895  -0.000310488
0.970703  -0.00983105  0.29889  -0.00029131
0.972656  -0.00985278  0.298885  -0.000272088
0.974609  -0.00987301  0.298881  -0.000252824
0.976562  -0.00989177  0.298877  -0.000233523
0.978516  -0.00990903  0.298873  -0.000214187
0.980469  -0.0099248  0.298869  -0.000194818
0.982422  -0.00993907  0.298866  -0.00017542
0.984375  -0.00995185  0.298864  -0.000155995
0.986328  -0.00996313  0.298861  -0.000136547
0.988281  -0.0099729  0.298859  -0.000117079
0.990234  -0.00998118  0.298857  -9.75926e-05
0.992188  -0.00998795  0.298856  -7.80917e-05
0.994141  -0.00999322  0.298855  -5.85791e-05
0.996094  -0.00999699  0.298854  -3.90576e-05
0.998047  -0.00999925  0.298853  -1.95303e-05
