# D = 59.06
# x/p  delta  log(2+delta)  velocity
0.810547  0.0028904  0.301657  0.0181265
0.8125  0.00297974  0.301677  0.0180334
0.814453  0.00306863  0.301696  0.0179377
0.816406  0.00315706  0.301715  0.0178393
0.818359  0.00324503  0.301734  0.0177382
0.820312  0.00333251  0.301753  0.0176346
0.822266  0.0034195  0.301772  0.0175283
0.824219  0.00350598  0.301791  0.0174194
0.826172  0.00359194  0.301809  0.017308
0.828125  0.00367736  0.301828  0.017194
0.830078  0.00376223  0.301846  0.0170774
0.832031  0.00384654  0.301864  0.0169584
0.833984  0.00393028  0.301883  0.0168368
0.835938  0.00401343  0.301901  0.0167127
0.837891  0.00409599  0.301919  0.0165862
0.839844  0.00417792  0.301936  0.0164572
0.841797  0.00425924  0.301954  0.0163259
0.84375  0.00433992  0.301971  0.0161921
0.845703  0.00441994  0.301989  0.0160559
0.847656  0.00449931  0.302006  0.0159173
0.849609  0.004578  0.302023  0.0157765
0.851562  0.004656  0.30204  0.0156333
0.853516  0.00473331  0.302057  0.0154878
0.855469  0.0048099  0.302073  0.01534
0.857422  0.00488578  0.30209  0.01519
0.859375  0.00496092  0.302106  0.0150377
0.861328  0.00503531  0.302122  0.0148832
0.863281  0.00510895  0.302138  0.0147266
0.865234  0.00518182  0.302154  0.0145678
0.867188  0.00525391  0.302169  0.0144068
0.869141  0.00532522  0.302185  0.0142438
0.871094  0.00539572  0.3022  0.0140786
0.873047  0.0054654  0.302215  0.0139114
0.875  0.00553427  0.30223  0.0137422
0.876953  0.0056023  0.302245  0.0135709
0.878906  0.00566949  0.302259  0.0133977
0.880859  0.00573582  0.302274  0.0132225
0.882812  0.00580129  0.302288  0.0130454
0.884766  0.00586589  0.302302  0.0128664
0.886719  0.0059296  0.302316  0.0126855
0.888672  0.00599241  0.302329  0.0125027
0.890625  0.00605432  0.302343  0.0123181
0.892578  0.00611532  0.302356  0.0121317
0.894531  0.0061754  0.302369  0.0119436
0.896484  0.00623454  0.302382  0.0117537
0.898438  0.00629274  0.302394  0.0115621
0.900391  0.00634999  0.302407  0.0113688
0.902344  0.00640628  0.302419  0.0111739
0.904297  0.0064616  0.302431  0.0109773
0.90625  0.00651595  0.302443  0.0107791
0.908203  0.00656931  0.302454  0.0105794
0.910156  0.00662168  0.302465  0.0103781
0.912109  0.00667305  0.302477  0.0101753
0.914062  0.0067234  0.302488  0.00997103
0.916016  0.00677274  0.302498  0.00976531
0.917969  0.00682106  0.302509  0.00955817
0.919922  0.00686834  0.302519  0.00934965
0.921875  0.00691458  0.302529  0.00913976
0.923828  0.00695978  0.302539  0.00892855
0.925781  0.00700392  0.302548  0.00871604
0.927734  0.00704701  0.302558  0.00850227
0.929688  0.00708902  0.302567  0.00828727
0.931641  0.00712996  0.302575  0.00807106
0.933594  0.00716982  0.302584  0.00785368
0.935547  0.0072086  0.302593  0.00763516
0.9375  0.00724628  0.302601  0.00741553
0.939453  0.00728286  0.302609  0.00719483
0.941406  0.00731834  0.302616  0.00697309
0.943359  0.00735272  0.302624  0.00675033
0.945312  0.00738597  0.302631  0.0065266
0.947266  0.00741811  0.302638  0.00630192
0.949219  0.00744912  0.302645  0.00607633
0.951172  0.007479  0.302651  0.00584986
0.953125  0.00750775  0.302657  0.00562254
0.955078  0.00753536  0.302663  0.00539441
0.957031  0.00756182  0.302669  0.0051655
0.958984  0.00758714  0.302674  0.00493584
0.960938  0.00761131  0.30268  0.00470547
0.962891  0.00763432  0.302685  0.00447441
0.964844  0.00765617  0.302689  0.00424271
0.966797  0.00767686  0.302694  0.0040104
0.96875  0.00769639  0.302698  0.0037775
0.970703  0.00771475  0.302702  0.00354406
0.972656  0.00773193  0.302706  0.00331011
0.974609  0.00774795  0.302709  0.00307567
0.976562  0.00776278  0.302712  0.0028408
0.978516  0.00777644  0.302715  0.00260551
0.980469  0.00778892  0.302718  0.00236984
0.982422  0.00780022  0.30272  0.00213384
0.984375  0.00781033  0.302723  0.00189752
0.986328  0.00781925  0.302725  0.00166093
0.988281  0.00782699  0.302726  0.0014241
0.990234  0.00783354  0.302728  0.00118707
0.992188  0.0078389  0.302729  0.000949858
0.994141  0.00784307  0.30273  0.000712514
0.996094  0.00784605  0.30273  0.000475066
0.998047  0.00784784  0.302731  0.00023755
