# step = 18000, time = 0.18, G_eff = 0
# x  rho  phase  re  im  V
0.34668  0.586409  0.0511645  0.764771  0.0391633  0
0.348633  0.567715  0.0510977  0.752485  0.0384838  0
0.350586  0.549958  0.0500737  0.740662  0.0371187  0
0.352539  0.533135  0.0480278  0.729319  0.0350546  0
0.354492  0.517241  0.0448977  0.71847  0.0322793  0
0.356445  0.502274  0.0406234  0.708128  0.0287824  0
0.358398  0.488233  0.0351491  0.698305  0.0245549  0
0.360352  0.475118  0.0284234  0.68901  0.0195893  0
0.362305  0.462934  0.0204009  0.680251  0.0138797  0
0.364258  0.451685  0.0110432  0.672034  0.0074217  0
0.366211  0.44138  0.0003202  0.664364  0.00021273  0
0.368164  0.432031  -0.0117886  0.657245  -0.00774837  0
0.370117  0.423651  -0.025293  0.650676  -0.0164611  0
0.37207  0.416258  -0.0401907  0.64466  -0.0259233  0
0.374023  0.409872  -0.0564663  0.639192  -0.0361312  0
0.375977  0.404516  -0.0740903  0.63427  -0.0470795  0
0.37793  0.400215  -0.0930187  0.62989  -0.0587611  0
0.379883  0.396997  -0.113192  0.626045  -0.0711675  0
0.381836  0.394893  -0.134536  0.622727  -0.0842885  0
0.383789  0.393935  -0.156962  0.619927  -0.0981121  0
0.385742  0.394157  -0.180367  0.617635  -0.112625  0
0.387695  0.395593  -0.204637  0.615839  -0.127812  0
0.389648  0.39828  -0.229646  0.614526  -0.143658  0
0.391602  0.402252  -0.255261  0.613683  -0.160142  0
0.393555  0.407547  -0.281343  0.613295  -0.177248  0
0.395508  0.414199  -0.307752  0.613345  -0.194952  0
0.397461  0.422241  -0.334346  0.613818  -0.213233  0
0.399414  0.431706  -0.360988  0.614696  -0.232067  0
0.401367  0.442623  -0.387545  0.61596  -0.251428  0
0.40332  0.455019  -0.413895  0.617592  -0.27129  0
0.405273  0.468916  -0.439922  0.619573  -0.291624  0
0.407227  0.484334  -0.465525  0.621883  -0.312402  0
0.40918  0.501287  -0.490613  0.624501  -0.333594  0
0.411133  0.519784  -0.515108  0.627408  -0.355166  0
0.413086  0.539829  -0.538946  0.630582  -0.377087  0
0.415039  0.56142  -0.562074  0.634004  -0.399323  0
0.416992  0.584547  -0.584451  0.637652  -0.421838  0
0.418945  0.609195  -0.606049  0.641505  -0.444597  0
0.420898  0.635341  -0.626846  0.645543  -0.467564  0
0.422852  0.662955  -0.646833  0.649745  -0.4907  0
0.424805  0.691998  -0.666005  0.654091  -0.513967  0
0.426758  0.722424  -0.684366  0.658562  -0.537327  0
0.428711  0.754179  -0.701925  0.663137  -0.560739  0
0.430664  0.7872  -0.718695  0.667798  -0.584163  0
0.432617  0.821419  -0.734692  0.672525  -0.60756  0
0.43457  0.856754  -0.749935  0.6773  -0.630888  0
0.436523  0.893122  -0.764446  0.682106  -0.654105  0
0.438477  0.930427  -0.778247  0.686926  -0.67717  0
0.44043  0.968567  -0.791362  0.691742  -0.700043  0
0.442383  1.00743  -0.803815  0.69654  -0.72268  0
0.444336  1.04691  -0.815629  0.701304  -0.745041  0
0.446289  1.08688  -0.826829  0.706018  -0.767085  0
0.448242  1.12721  -0.837436  0.710671  -0.78877  0
0.450195  1.16777  -0.847475  0.715247  -0.810055  0
0.452148  1.20842  -0.856966  0.719736  -0.830901  0
0.454102  1.24901  -0.86593  0.724124  -0.851268  0
0.456055  1.28941  -0.874387  0.728401  -0.871117  0
0.458008  1.32947  -0.882355  0.732557  -0.89041  0
0.459961  1.36903  -0.889852  0.736581  -0.909108  0
0.461914  1.40795  -0.896896  0.740465  -0.927177  0
0.463867  1.44606  -0.9035  0.7442  -0.94458  0
0.46582  1.48324  -0.90968  0.747778  -0.961283  0
0.467773  1.51931  -0.915448  0.751193  -0.977253  0
0.469727  1.55415  -0.920819  0.754437  -0.992459  0
0.47168  1.5876  -0.925802  0.757504  -1.00687  0
0.473633  1.61952  -0.930409  0.760389  -1.02046  0
0.475586  1.64979  -0.934649  0.763087  -1.03319  0
0.477539  1.67826  -0.93853  0.765594  -1.04505  0
0.479492  1.70483  -0.942062  0.767905  -1.05601  0
0.481445  1.72937  -0.945251  0.770016  -1.06604  0
0.483398  1.75177  -0.948103  0.771925  -1.07513  0
0.485352  1.77195  -0.950625  0.773629  -1.08326  0
0.487305  1.78981  -0.95282  0.775124  -1.09041  0
0.489258  1.80526  -0.954695  0.77641  -1.09656  0
0.491211  1.81825  -0.956251  0.777484  -1.10171  0
0.493164  1.82871  -0.957492  0.778345  -1.10584  0
0.495117  1.8366  -0.958421  0.778992  -1.10895  0
0.49707  1.84187  -0.95904  0.779424  -1.11102  0
0.499023  1.84452  -0.959349  0.77964  -1.11206  0
0.500977  1.84452  -0.959349  0.77964  -1.11206  0
0.50293  1.84187  -0.95904  0.779424  -1.11102  0
0.504883  1.8366  -0.958421  0.778992  -1.10895  0
0.506836  1.82871  -0.957492  0.778345  -1.10584  0
0.508789  1.81825  -0.956251  0.777484  -1.10171  0
0.510742  1.80526  -0.954695  0.77641  -1.09656  0
0.512695  1.78981  -0.95282  0.775124  -1.09041  0
0.514648  1.77195  -0.950625  0.773629  -1.08326  0
0.516602  1.75177  -0.948103  0.771925  -1.07513  0
0.518555  1.72937  -0.945251  0.770016  -1.06604  0
0.520508  1.70483  -0.942062  0.767905  -1.05601  0
0.522461  1.67826  -0.93853  0.765594  -1.04505  0
0.524414  1.64979  -0.934649  0.763087  -1.03319  0
0.526367  1.61952  -0.930409  0.760389  -1.02046  0
0.52832  1.5876  -0.925802  0.757504  -1.00687  0
0.530273  1.55415  -0.920819  0.754437  -0.992459  0
0.532227  1.51931  -0.915448  0.751193  -0.977253  0
0.53418  1.48324  -0.90968  0.747778  -0.961283  0
0.536133  1.44606  -0.9035  0.7442  -0.94458  0
0.538086  1.40795  -0.896896  0.740465  -0.927177  0
0.540039  1.36903  -0.889852  0.736581  -0.909108  0
0.541992  1.32947  -0.882355  0.732557  -0.89041  0
0.543945  1.28941  -0.874387  0.728401  -0.871117  0
0.545898  1.24901  -0.86593  0.724124  -0.851268  0
0.547852  1.20842  -0.856966  0.719736  -0.830901  0
